"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4U9L72VW","book","2019","Inoue, Asao B.","Labor-based grading contracts: building equity and inclusion in the compassionate writing classroom","","978-1-60732-925-1","","","","In ""Labor-Based Grading Contracts"", Asao B. Inoue argues for the use of labor-based grading contracts along with compassionate practices to determine course grades as a way to do social justice with students. He frames this practice by considering how Freirean problem-posing led him to experiment with grading contracts and explore the literature on grading contracts. Inoue offers a robust Marxian theory of labor that considers Hannah Arendt's theory of labor-work-action and Barbara Adam's concept of ""timescapes."" The heart of the book details the theoretical and practical ways labor-based grading contracts can be used and assessed for effectiveness in classrooms and programs. Inoue concludes the book by moving outside the classroom, considering how assessing writing in the socially just ways he offers in the book may provide a way to address the violence and discord seen in the world today. -- From publisher's description","2019","2023-02-21 22:05:51","2023-02-21 22:05:51","","","344","","","","","Labor-based grading contracts","Perspectives on writing","","","","The WAC Clearinghouse","Fort Collins, Colorado","","","","","","webcat.library.ubc.ca Library Catalog","LB2368 .I66 2019","OCLC: on1084627759","Introduction : laboring toward grading contracts and the inner dikes -- Problematizing grading and the white habitus of the writing classroom -- How I came to labor-based grading contracts -- What is labor in labor-based grading contracts -- What labor-based grading contracts look like -- Why I use a charter for compassion with my contract -- What concerns are there of labor-based grading contracts -- How effective can labor-based contracts be -- Coda : assessing English so that people stop killing each other","","","","Academic writing; College students; Educational tests and measurements; Evaluation; Grading and marking (Students); Rating of","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2ATZ3TP","journalArticle","2021","Lucas, Taylor","A Student Perspective on Contract Grading","InSight","","1933-4850, 1933-4869","10.46504/16202100slu","https://doi.org/10.46504/16202100slu","DOAJ is a unique and extensive index of diverse open access journals from around the world, driven by a growing community, committed to ensuring quality content is freely available online for everyone.","2021-09-01","2023-02-21 22:09:25","2023-02-21 22:09:25","2023-02-21 22:09:25","13-15","","","16","","","","","","","","","","en","","","","","doaj.org","","Publisher: Park University","","/Users/emurph01/Zotero/storage/69AB32TX/Lucas - 2021 - A Student Perspective on Contract Grading.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMDG2TRN","journalArticle","2014","Blackstock, Alan; Exton, Virginia Norris","""Space to Grow"": Grading Contracts for Basic Writers","Teaching English in the Two Year College","","00986291","","https://www.proquest.com/docview/1505017797?pq-origsite=summon","[...]many students find the contract liberating; as one student commented in a recent anonymous course evaluation, ""the grading contract/portfolio took the pressure off of me as a novice writer and gave me space to grow in my understanding of writing."" Most are first-generation college students who are also employees of Head Start (a federally funded preschool education program that now requires all teachers and aides to have at least an associate's degree).","2014-03","2023-02-21 22:16:49","2023-02-21 22:16:49","2023-02-21 22:16:49","278-293","","3","41","","","""Space to Grow""","","","","","","","English","Copyright National Council of Teachers of English Mar 2014","","","","ProQuest","","Num Pages: 16 Place: Urbana, United States Publisher: National Council of Teachers of English","","","","","College students; Colleges & universities; Community colleges; Education--Teaching Methods And Curriculum; Essays; Head Start; Learning; Preschool children; Preschool education; Teachers; Writing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G6CCSPA6","journalArticle","2020","Mallette, Jennifer C.; Hawks, Amanda","Building Student Agency Through Contract Grading in Technical Communication","Journal of Writing Assessment","","1543-043X","","https://escholarship.org/uc/item/4v65z263","The scholarship on contract grading has focused on the impacts in first-year writing, but little work explores how contract grading is used in other writing contexts, specifically technical communication. In fact, a focus on contract grading can align with the social justice turn in technical communication if viewed as a way to enact feminist and antiracist pedagogies. In this reflection, we--an instructor of an introductory technical communication service course and a student who took that class--share our experiences around contract grading. After providing an overview of the course and institutional context, we reflect together on our experiences around student perceptions and attitudes as well as the impact contract grading had on us as teacher and learner. We conclude with lessons learned and how instructors can take up contract grading in their technical communication classrooms. Our goal is to share our experiences that could lead to scholarship on assessment practices in the context of the field's social justice turn. Keywords: contract grading, technical communication, student agency, social justice, feminism","2020","2023-02-21 22:17:59","2023-02-21 22:17:59","2023-02-21 22:17:59","","","2","13","","","","","","","","","","en","","","","","escholarship.org","","","","/Users/emurph01/Zotero/storage/PAMPTS7K/Mallette and Hawks - 2020 - Building Student Agency Through Contract Grading i.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S79K4ZQS","journalArticle","2020","Cowan, Michelle","A Legacy of Grading Contracts for Composition","Journal of Writing Assessment","","1543-043X","","https://escholarship.org/uc/item/0j28w67h","The efficacy of traditional letter or numerical grading for composition classes has been questioned for decades, but still, most instructors use conventional grading systems in their writing classes. This article outlines a century-long history of research and experimentation, focusing on the use of grading contracts in composition courses to increase grading consistency, incentivize more effective writing approaches, break down problematic classroom power dynamics, reward improvement, reduce race or gender bias, and encourage self-directed learning. Most scholarship on grading contracts in composition focuses on individual case studies of particular contract implementations, but recent turns toward more comparative, large-scale studies indicate the potential of the field to better understand the usefulness of grading contracts. Existing research demonstrates the promise of grading contracts to create more egalitarian classrooms in which students assume more ownership of their work, provided instructors embrace the opportunities for class discussion and negotiation that contracts afford. No contract is one-size-fits-all, so instructors can use the examples outlined in this history to craft grading contracts that make the most sense for their goals and instructional pedagogy. Keywords: grading contracts, literature review, learning contracts, alternative approaches, grades","2020","2023-02-21 22:18:16","2023-02-21 22:18:16","2023-02-21 22:18:16","","","2","13","","","","","","","","","","en","","","","","escholarship.org","","","","/Users/emurph01/Zotero/storage/4G4LLYJM/Cowan - 2020 - A Legacy of Grading Contracts for Composition.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4FSEQ3Z","journalArticle","2020","Kryger, Kathleen; Zimmerman, Griffin X.","Neurodivergence and Intersectionality in Labor-Based Grading Contracts","Journal of Writing Assessment","","1543-043X","","https://escholarship.org/uc/item/0934x4rm","This article explores how labor-based grading contract (LBGC) systems can be informed by neurodivergence. To date, little research has described how grading contracts impact students of varying neurological abilities. This article addresses this gap by investigating how neurodivergent students experience LBGC systems. Neurodivergent students face increased academic and emotional labor, thus shifting power and ease of access in such contract-grading classrooms to neurotypical students who may be more adept at ""performing"" academic labor. First, we articulate the ways in which neurodivergence is defined and made invisible, how it manifests in our writing classrooms, and the ways in which our institutions uphold normative conceptions of neurological ability. Second, we illuminate how grading contracts, by altering the activity systems of schooling and writing classrooms, create barriers to accessibility that heighten neurodivergent students' experiences of schooling- and grade-related anxiety. Finally, they offer an ethnographic exploration of ways to unite the socially just aims of LBGC systems with the intersectional lens inherent in a consideration of the neurodivergent student experience. Keywords: neurodivergence, grading contracts, academic labor, assessment theory, disability studies","2020","2023-02-21 22:18:24","2023-02-21 22:18:24","2023-02-21 22:18:24","","","2","13","","","","","","","","","","en","","","","","escholarship.org","","","","/Users/emurph01/Zotero/storage/EWUWSKQ8/Kryger and Zimmerman - 2020 - Neurodivergence and Intersectionality in Labor-Bas.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AD4Y8527","journalArticle","2020","Reardon, Kristina; Guardado-Menjivar, Vanessa","Perceptions of Fairness in Summer Bridge Classrooms with Contract Grades","Journal of Writing Assessment","","1543-043X","","https://escholarship.org/uc/item/6qc0j26v","This narrative explains how a summer bridge student turned writing fellow effectively communicated peers' comments about fairness in grading to her former professor as she prepared to teach her summer bridge writing course again. Co-authored by the instructor and undergraduate student, this reflection explores both undergraduate understandings of fairness in the context of contract grading as well as the teacher-student relationship. Both teacher and student advocate for the use of contract grading in summer bridge writing classrooms. However, they argue that systems of grading need to be clarified and contextualized for pre-college students who sometimes express confusion about college standards and/or may overextend lessons learned during their first college course to their fall semester when not all professors will use contract grading. Keywords: fairness, summer bridge, writing fellows, revision, contract grading","2020","2023-02-21 22:24:35","2023-02-21 22:24:35","2023-02-21 22:24:35","","","2","13","","","","","","","","","","en","","","","","escholarship.org","","","","/Users/emurph01/Zotero/storage/QMJH7MPI/Reardon and Guardado-Menjivar - 2020 - Perceptions of Fairness in Summer Bridge Classroom.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WCLJNML3","webpage","","","Amanda Mingail Shubert: ""Contracts for a Time of Crisis: What I Learned from Grading in a Pandemic"" • Issue 17.1 • Nineteenth-Century Gender Studies","","","","","http://www.ncgsjournal.com/issue171/shubert.html","","","2023-02-22 02:10:29","2023-02-22 02:12:03","2023-02-22 02:10:29","","","","","","","","","","","","","","","","","","","","","","","/Users/emurph01/Zotero/storage/9T2XF2NN/shubert.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IJYIAU6H","journalArticle","2020","Buck, David","Contract Grading and Peer Review","","","","","https://pressbooks.howardcc.edu/ungrading/chapter/contract-grading-and-peer-review/","","2020-12-21","2023-02-22 05:01:30","2023-02-22 05:01:30","2023-02-22 05:01:30","","","","","","","","","","","","","","en","","","","","pressbooks.howardcc.edu","","Book Title: Crowdsourcing Ungrading","","/Users/emurph01/Zotero/storage/VJ43FLZP/contract-grading-and-peer-review.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZKW3BUB","webpage","","","Alternative grading practices in undergraduate STEM education: a scoping review - ProQuest","","","","","https://www.proquest.com/docview/3051222423?https://www.proquest.com/coronavirus/advanced&pq-origsite=summon&sourcetype=Scholarly%20Journals","","","2025-06-25 17:32:58","2025-06-25 17:34:09","2025-06-25 17:32:58","","","","","","","","","","","","","","","","","","","","","","","/Users/emurph01/Zotero/storage/BGJJMJB3/3051222423.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
